,SKU,Nombre,Precio,Presentación,URL,THC per container,CBD per container
0,1039544,SOLID COLOUR SPOON W/ASH CATCHER/SCREEN,$14.99,[],https://www.bccannabisstores.com/products/solid-colour-spoon-w-ash-catcher-screen,No posee,No posee
1,1033547,WALNUT DUGOUT,$19.99,['Brown'],https://www.bccannabisstores.com/products/walnut-dugout,No posee,No posee
2,1032069,VAPE BATTERY + BATTERY CHARGER,$9.99,['Steel'],https://www.bccannabisstores.com/products/vape-cartridge-and-battery-starter-kit,No posee,No posee
3,1039528,STRAIGHT TUBE W/2 HONEYCOMB PERCS,$39.99,[],https://www.bccannabisstores.com/products/straight-tube-w-2-honeycomb-percs,No posee,No posee
4,1037589,PAX ERA LIFE BATTERY,$39.99,['Onyx'],https://www.bccannabisstores.com/products/pax-era-life-battery,No posee,No posee
5,1037605,ELF 510 THREAD VARIABLE VOLTAGE,$9.99,['Black'],https://www.bccannabisstores.com/products/elf-510-thread-variable-voltage,No posee,No posee
6,1036466,PALM PRE-ROLLED CONES,$3.99,['2 x PALM PRE-ROLLED CONES'],https://www.bccannabisstores.com/products/palm-pre-rolled-cones,No posee,No posee
7,1036458,UNBLEACHED 1 1/4 CONES,$4.99,['6 x UNBLEACHED 1 1/4 CONES'],https://www.bccannabisstores.com/products/unbleached-1-1-4-cones,No posee,No posee
8,1032119,"8"" YELLOW BEEHIVE LAID BACK WATER PIPE",$34.99,['Clear and Yellow'],https://www.bccannabisstores.com/products/8-yellow-beehive-laid-back-water-pipe,No posee,No posee
9,1032135,"6"" TALL WATER PIPE",$24.99,['Metallic'],https://www.bccannabisstores.com/products/6-tall-water-pipe,No posee,No posee
10,1032143,"7"" TALL JADE GREEN CONCENTRATE RIG",$54.99,['Clear & Jade Green'],https://www.bccannabisstores.com/products/7-tall-jade-green-concentrate-rig,No posee,No posee
11,1032192,"5.5"" RASTA SHERLOCK  HAND PIPE",$17.99,['Rasta'],https://www.bccannabisstores.com/products/5-5-rasta-sherlock-hand-pipe,No posee,No posee
12,1032168,"4.25"" HONEY GOLD & BLACK DAPPER HAD PIPE",$27.99,['Honey Gold & Black'],https://www.bccannabisstores.com/products/4-25-honey-gold-black-dapper-had-pipe,No posee,No posee
13,1032176,"4"" LIGHTCICLE HAND PIPE",$19.99,['Black and White'],https://www.bccannabisstores.com/products/4-lightcicle-hand-pipe,No posee,No posee
14,1032184,"4.5"" GREEN SPOON HAND PIPE",$19.99,['Green'],https://www.bccannabisstores.com/products/4-5-green-spoon-hand-pipe,No posee,No posee
15,1031061,BEAKER BONG,$79.99,[],https://www.bccannabisstores.com/products/beaker-bong,No posee,No posee
16,1008465,120MM DOWNSTEM,$9.97,['1008465 - 120MM DOWNSTEM'],https://www.bccannabisstores.com/products/reg-downstem,No posee,No posee
17,1008093,LIQUID CLEANER,$11.99,['1 Each'],https://www.bccannabisstores.com/products/reg-reg-cleaner,No posee,No posee
18,1007079,ZIG-ZAG BLUE PAPERS,$3.99,['100 x ZIG-ZAG BLUE PAPERS'],https://www.bccannabisstores.com/products/zig-zag-zz-cb-100-wraps,No posee,No posee
19,1008242,EXTREME Q DIGITAL TABLETOP VAPORIZER,$199.99,['Black'],https://www.bccannabisstores.com/products/arizer-extreme-q-digital-vaporizer-4-0,No posee,No posee
20,1006634,4-PIECE VOLT GRINDER - LARGE,$34.99,"['Blue', 'Silver']",https://www.bccannabisstores.com/products/hammercraft-gr-ham-volt-blue,No posee,No posee
21,1010727,130MM DOWNSTEM,$9.97,['1010727 - 130MM DOWNSTEM'],https://www.bccannabisstores.com/products/130mm-downstem,No posee,No posee
22,1006899,CLASSIC ROLLING PAPERS - KING SIZE SLIM,$2.99,['32 x CLASSIC ROLLING PAPERS - KING SIZE SLIM'],https://www.bccannabisstores.com/products/classic-rolling-papers-king-size-slim,No posee,No posee
23,1006824,CLASSIC CONE ROLLING PAPERS - 1 1/4,$4.49,['6 x CLASSIC CONE ROLLING PAPERS - 1 1/4'],https://www.bccannabisstores.com/products/classic-cone-rolling-papers-1-1-4,No posee,No posee
24,1006949,HEMP PLASTIC ROLLING MACHINE -70 MM,$4.99,['1 x HEMP PLASTIC ROLLING MACHINE -70 MM'],https://www.bccannabisstores.com/products/hemp-plastic-rolling-machine-70-mm,No posee,No posee
25,1006956,HEMP PLASTIC ROLLING MACHINE - 79 MM,$4.99,['1 x HEMP PLASTIC ROLLING MACHINE - 79 MM'],https://www.bccannabisstores.com/products/hemp-plastic-rolling-machine-79-mm,No posee,No posee
26,1006964,CLASSIC ROLLING PAPERS - SINGLE WIDE,$1.99,['100 x CLASSIC ROLLING PAPERS - SINGLE WIDE'],https://www.bccannabisstores.com/products/classic-rolling-papers-single-wide,No posee,No posee
27,1007087,ZIG-ZAG WHITE PAPERS,$3.99,['100 x ZIG-ZAG WHITE PAPERS'],https://www.bccannabisstores.com/products/slow-burning-cigarette-papers,No posee,No posee
28,1007269,2-PIECE ALUMINUM GRINDER,$22.99,"['Blue', 'Black', 'Silver', 'Red']",https://www.bccannabisstores.com/products/2-piece-aluminum-grinder,No posee,No posee
29,1011931,CANNASEUR ONE CANNABIS HUMIDOR,$329.97,['1011931 - CANNASEUR ONE CANNABIS HUMIDOR'],https://www.bccannabisstores.com/products/cannaseur-one-cannabis-humador,No posee,No posee
30,1011360,BOUNDLESS TECH CFV VAPORIZER,$119.97,"['Red', 'Black']",https://www.bccannabisstores.com/products/boundless-tech-cfv-black-vaporizer,No posee,No posee
31,1011832,PORTABLE STORAGE CANISTER WITH GRINDER,$3.99,['1011832 - PORTABLE STORAGE CANISTER WITH GRINDER'],https://www.bccannabisstores.com/products/portable-storage-canister-with-built-in,No posee,No posee
32,1011873,METAL PIPE WITH 5-PC REPLACEMENT SCREENS,$4.99,['Assorted'],https://www.bccannabisstores.com/products/metal-pipe-with-5-pc-replacement-screens,No posee,No posee
33,1011899,GLASS PIPE 5L,$6.99,['Clear'],https://www.bccannabisstores.com/products/glass-pipe-5-moji-mellow,No posee,No posee
34,1011949,"4""L SPOON PIPE",$9.99,['Assorted'],https://www.bccannabisstores.com/products/moji-mellow-4l-spoon-pipe,No posee,No posee
35,1012418,ACCESSORY STARTER KIT,$9.99,['Brown'],https://www.bccannabisstores.com/products/raw-start-kit-3,No posee,No posee
36,1014323,RAW HYDROSTONE,$1.99,['1014323 - RAW HYDROSTONE'],https://www.bccannabisstores.com/products/raw-hydrostone,No posee,No posee
37,1019371,LARGE MARBLE COLOUR HONEY JAR,$5.97,['1019371 - LARGE MARBLE COLOUR HONEY JAR'],https://www.bccannabisstores.com/products/large-marble-colour-honey-jar,No posee,No posee
38,1019710,14MM QUARTZ FEMALE 90 DEGREE 4MM BANGER,$19.97,['1019710 - 14MM QUARTZ FEMALE 90 DEGREE 4MM BANGER'],https://www.bccannabisstores.com/products/14mm-quartz-female-90-degree-4mm-banger,No posee,No posee
39,1019751,"MY DAB MAT MOON GLOW IN THE DARK 11"" DIA",$11.99,"['1019751 - MY DAB MAT MOON GLOW IN THE DARK 11"" DIA']",https://www.bccannabisstores.com/products/my-dab-mat-moon-glow-in-the-dark-11-dia,No posee,No posee
40,1019686,"GEAR SKILLETOOLS ""SHARPY""",$14.99,"['1019686 - GEAR SKILLETOOLS ""SHARPY""']",https://www.bccannabisstores.com/products/gear-skilletools-sharpy,No posee,No posee
41,1019736,14MM QUARTZ FEMALE 45DEG 4MMTHICK BANGER,$19.97,['1019736 - 14MM QUARTZ FEMALE 45DEG 4MMTHICK BANGER'],https://www.bccannabisstores.com/products/14mm-quartz-female-45deg-4mmthick-banger,No posee,No posee
42,1019728,14MM QUARTZ MALE 45 DEG 4MM THICK BANGER,$19.97,['1019728 - 14MM QUARTZ MALE 45 DEG 4MM THICK BANGER'],https://www.bccannabisstores.com/products/14mm-quartz-male-45-deg-4mm-thick-banger,No posee,No posee
43,1020411,SHATTERIZER VAPORIZER GLASS GLOBE,$69.99,[],https://www.bccannabisstores.com/products/shatterizer-vaporizer-glass-globe,No posee,No posee
44,1020569,PAX ERA,$29.97,['Slate'],https://www.bccannabisstores.com/products/pax-era,No posee,No posee
45,1020726,"SKILLETOOLS ""HONEY BUN""",$14.99,"['1020726 - SKILLETOOLS ""HONEY BUN""']",https://www.bccannabisstores.com/products/skilletools-honey-bun,No posee,No posee
46,1017904,COVE BATTERY PACK,$9.99,[],https://www.bccannabisstores.com/products/cove-battery-pack,No posee,No posee
47,1021625,PERMANENT STEEL SCREEN (1/PK),$4.97,['1021625 - PERMANENT STEEL SCREEN (1/PK)'],https://www.bccannabisstores.com/products/permanent-steel-screen-1-pk,No posee,No posee
